word,translation,category,level,pos,headword,sublist,frequency,source,topic,scene
indicated,表明,academic,7,verb,indicate,1,65,AWL,,
indicates,表明,academic,7,verb,indicate,1,64,AWL,,
indicating,表明,academic,7,verb,indicate,1,63,AWL,,
indication,表明,academic,7,verb,indicate,1,62,AWL,,
indications,表明,academic,7,verb,indicate,1,61,AWL,,
indicator,表明,academic,7,verb,indicate,1,65,AWL,,
indicators,表明,academic,7,verb,indicate,1,64,AWL,,
individualism,个人的,academic,7,adjective/noun,individual,1,65,AWL,,
individuality,个人的,academic,7,adjective/noun,individual,1,64,AWL,,
individually,个人的,academic,7,adjective/noun,individual,1,63,AWL,,
individuals,个人的,academic,7,adjective/noun,individual,1,62,AWL,,
interpretation,解释,academic,7,verb,interpret,1,65,AWL,,
interpretations,解释,academic,7,verb,interpret,1,64,AWL,,
interpreted,解释,academic,7,verb,interpret,1,63,AWL,,
interpreting,解释,academic,7,verb,interpret,1,62,AWL,,
interpreter,解释,academic,7,verb,interpret,1,61,AWL,,
interpreters,解释,academic,7,verb,interpret,1,65,AWL,,
interprets,解释,academic,7,verb,interpret,1,64,AWL,,
misinterpret,解释,academic,7,verb,interpret,1,63,AWL,,
involved,涉及,academic,7,verb,involve,1,65,AWL,,
involvement,涉及,academic,7,verb,involve,1,64,AWL,,
involves,涉及,academic,7,verb,involve,1,63,AWL,,
involving,涉及,academic,7,verb,involve,1,62,AWL,,
issued,问题,academic,7,noun/verb,issue,1,65,AWL,,
issues,问题,academic,7,noun/verb,issue,1,64,AWL,,
issuing,问题,academic,7,noun/verb,issue,1,63,AWL,,
labor,劳动,academic,7,noun,labour,1,65,AWL,,
laboured,劳动,academic,7,noun,labour,1,64,AWL,,
labouring,劳动,academic,7,noun,labour,1,63,AWL,,
labours,劳动,academic,7,noun,labour,1,62,AWL,,
illegal,合法的,academic,7,adjective,legal,1,65,AWL,,
illegally,合法的,academic,7,adjective,legal,1,64,AWL,,
legality,合法的,academic,7,adjective,legal,1,63,AWL,,
legally,合法的,academic,7,adjective,legal,1,62,AWL,,
legislate,合法的,academic,7,adjective,legal,1,61,AWL,,
legislated,合法的,academic,7,adjective,legal,1,65,AWL,,
legislation,合法的,academic,7,adjective,legal,1,64,AWL,,
legislative,合法的,academic,7,adjective,legal,1,63,AWL,,
legislator,合法的,academic,7,adjective,legal,1,62,AWL,,
legislators,合法的,academic,7,adjective,legal,1,61,AWL,,
legislature,合法的,academic,7,adjective,legal,1,65,AWL,,
majorities,主要的,academic,7,adjective,major,1,65,AWL,,
majority,主要的,academic,7,adjective,major,1,64,AWL,,
methodological,方法,academic,7,noun,method,1,65,AWL,,
methodology,方法,academic,7,noun,method,1,64,AWL,,
methods,方法,academic,7,noun,method,1,63,AWL,,
occurred,发生,academic,7,verb,occur,1,65,AWL,,
occurring,发生,academic,7,verb,occur,1,64,AWL,,
occurs,发生,academic,7,verb,occur,1,63,AWL,,
reoccur,发生,academic,7,verb,occur,1,62,AWL,,
percentage,百分比,academic,7,noun,percent,1,65,AWL,,
percentages,百分比,academic,7,noun,percent,1,64,AWL,,
periodic,时期,academic,7,noun,period,1,65,AWL,,
periodical,时期,academic,7,noun,period,1,64,AWL,,
periodically,时期,academic,7,noun,period,1,63,AWL,,
periodicals,时期,academic,7,noun,period,1,62,AWL,,
periods,时期,academic,7,noun,period,1,61,AWL,,
policies,政策,academic,7,noun,policy,1,65,AWL,,
principled,原则,academic,7,noun,principle,1,65,AWL,,
principles,原则,academic,7,noun,principle,1,64,AWL,,
procedural,继续进行,academic,7,verb,proceed,1,65,AWL,,
procedure,继续进行,academic,7,verb,proceed,1,64,AWL,,
procedures,继续进行,academic,7,verb,proceed,1,63,AWL,,
proceeded,继续进行,academic,7,verb,proceed,1,62,AWL,,
proceeding,继续进行,academic,7,verb,proceed,1,61,AWL,,
proceedings,继续进行,academic,7,verb,proceed,1,65,AWL,,
proceeds,继续进行,academic,7,verb,proceed,1,64,AWL,,
processed,过程,academic,7,noun/verb,process,1,65,AWL,,
processes,过程,academic,7,noun/verb,process,1,64,AWL,,
processing,过程,academic,7,noun/verb,process,1,63,AWL,,
required,需要,academic,7,verb,require,1,65,AWL,,
requirement,需要,academic,7,verb,require,1,64,AWL,,
requirements,需要,academic,7,verb,require,1,63,AWL,,
requires,需要,academic,7,verb,require,1,62,AWL,,
requiring,需要,academic,7,verb,require,1,61,AWL,,
responded,回应,academic,7,verb,respond,1,65,AWL,,
respondent,回应,academic,7,verb,respond,1,64,AWL,,
respondents,回应,academic,7,verb,respond,1,63,AWL,,
responding,回应,academic,7,verb,respond,1,62,AWL,,
responds,回应,academic,7,verb,respond,1,61,AWL,,
response,回应,academic,7,verb,respond,1,65,AWL,,
responses,回应,academic,7,verb,respond,1,64,AWL,,
responsive,回应,academic,7,verb,respond,1,63,AWL,,
roles,角色,academic,7,noun,role,1,65,AWL,,
sectioned,部分,academic,7,noun,section,1,65,AWL,,
sectioning,部分,academic,7,noun,section,1,64,AWL,,
sections,部分,academic,7,noun,section,1,63,AWL,,
sectors,部门,academic,7,noun,sector,1,65,AWL,,
insignificant,重要的,academic,7,adjective,significant,1,65,AWL,,
significance,重要的,academic,7,adjective,significant,1,64,AWL,,
significantly,重要的,academic,7,adjective,significant,1,63,AWL,,
dissimilar,相似的,academic,7,adjective,similar,1,65,AWL,,
similarities,相似的,academic,7,adjective,similar,1,64,AWL,,
similarity,相似的,academic,7,adjective,similar,1,63,AWL,,
similarly,相似的,academic,7,adjective,similar,1,62,AWL,,
sourced,来源,academic,7,noun,source,1,65,AWL,,
sources,来源,academic,7,noun,source,1,64,AWL,,
sourcing,来源,academic,7,noun,source,1,63,AWL,,
specifically,具体的,academic,7,adjective,specific,1,65,AWL,,
specification,具体的,academic,7,adjective,specific,1,64,AWL,,
specifications,具体的,academic,7,adjective,specific,1,63,AWL,,
specifics,具体的,academic,7,adjective,specific,1,62,AWL,,
restructure,结构,academic,7,noun/verb,structure,1,65,AWL,,
structural,结构,academic,7,noun/verb,structure,1,64,AWL,,
structurally,结构,academic,7,noun/verb,structure,1,63,AWL,,
structured,结构,academic,7,noun/verb,structure,1,62,AWL,,
structures,结构,academic,7,noun/verb,structure,1,61,AWL,,
structuring,结构,academic,7,noun/verb,structure,1,65,AWL,,
theoretical,理论,academic,7,noun,theory,1,65,AWL,,
theoretically,理论,academic,7,noun,theory,1,64,AWL,,
theories,理论,academic,7,noun,theory,1,63,AWL,,
theorist,理论,academic,7,noun,theory,1,62,AWL,,
theorists,理论,academic,7,noun,theory,1,61,AWL,,
invariable,变化,academic,7,verb,vary,1,65,AWL,,
variably,变化,academic,7,verb,vary,1,64,AWL,,
variability,变化,academic,7,verb,vary,1,63,AWL,,
variable,变化,academic,7,verb,vary,1,62,AWL,,
variables,变化,academic,7,verb,vary,1,61,AWL,,
variance,变化,academic,7,verb,vary,1,65,AWL,,
variant,变化,academic,7,verb,vary,1,64,AWL,,
variants,变化,academic,7,verb,vary,1,63,AWL,,
variation,变化,academic,7,verb,vary,1,62,AWL,,
variations,变化,academic,7,verb,vary,1,61,AWL,,
varied,变化,academic,7,verb,vary,1,65,AWL,,
varies,变化,academic,7,verb,vary,1,64,AWL,,
varying,变化,academic,7,verb,vary,1,63,AWL,,
achievable,实现,academic,8,verb,achieve,2,60,AWL,,
achieved,实现,academic,8,verb,achieve,2,59,AWL,,
achievement,实现,academic,8,verb,achieve,2,58,AWL,,
achievements,实现,academic,8,verb,achieve,2,57,AWL,,
achieves,实现,academic,8,verb,achieve,2,56,AWL,,
achieving,实现,academic,8,verb,achieve,2,60,AWL,,
acquired,获得,academic,8,verb,acquire,2,60,AWL,,
acquires,获得,academic,8,verb,acquire,2,59,AWL,,
acquiring,获得,academic,8,verb,acquire,2,58,AWL,,
acquisition,获得,academic,8,verb,acquire,2,57,AWL,,
acquisitions,获得,academic,8,verb,acquire,2,56,AWL,,
administer,管理,academic,8,verb,administrate,2,60,AWL,,
administered,管理,academic,8,verb,administrate,2,59,AWL,,
administering,管理,academic,8,verb,administrate,2,58,AWL,,
administers,管理,academic,8,verb,administrate,2,57,AWL,,
administration,管理,academic,8,verb,administrate,2,56,AWL,,
administrations,管理,academic,8,verb,administrate,2,60,AWL,,
administrative,管理,academic,8,verb,administrate,2,59,AWL,,
administrator,管理,academic,8,verb,administrate,2,58,AWL,,
administrators,管理,academic,8,verb,administrate,2,57,AWL,,
affected,影响,academic,8,verb,affect,2,60,AWL,,
affecting,影响,academic,8,verb,affect,2,59,AWL,,
affects,影响,academic,8,verb,affect,2,58,AWL,,
unaffected,影响,academic,8,verb,affect,2,57,AWL,,
inappropriate,适当的,academic,8,adjective,appropriate,2,60,AWL,,
aspects,方面,academic,8,noun,aspect,2,60,AWL,,
assistance,帮助,academic,8,verb,assist,2,60,AWL,,
assistant,帮助,academic,8,verb,assist,2,59,AWL,,
assistants,帮助,academic,8,verb,assist,2,58,AWL,,
assisted,帮助,academic,8,verb,assist,2,57,AWL,,
assisting,帮助,academic,8,verb,assist,2,56,AWL,,
assists,帮助,academic,8,verb,assist,2,60,AWL,,
categorisation,类别,academic,8,noun,category,2,60,AWL,,
categorise,类别,academic,8,noun,category,2,59,AWL,,
categorised,类别,academic,8,noun,category,2,58,AWL,,
categorises,类别,academic,8,noun,category,2,57,AWL,,
categorising,类别,academic,8,noun,category,2,56,AWL,,
categories,类别,academic,8,noun,category,2,60,AWL,,
categorization,类别,academic,8,noun,category,2,59,AWL,,
categorized,类别,academic,8,noun,category,2,58,AWL,,
categorizes,类别,academic,8,noun,category,2,57,AWL,,
categorizing,类别,academic,8,noun,category,2,56,AWL,,
chapters,章节,academic,8,noun,chapter,2,60,AWL,,
commissioned,委员会,academic,8,noun,commission,2,60,AWL,,
commissioner,委员会,academic,8,noun,commission,2,59,AWL,,
commissioners,委员会,academic,8,noun,commission,2,58,AWL,,
commissioning,委员会,academic,8,noun,commission,2,57,AWL,,
commissions,委员会,academic,8,noun,commission,2,56,AWL,,
communities,社区,academic,8,noun,community,2,60,AWL,,
complexities,复杂的,academic,8,adjective,complex,2,60,AWL,,
complexity,复杂的,academic,8,adjective,complex,2,59,AWL,,
computable,计算,academic,8,verb,compute,2,60,AWL,,
computation,计算,academic,8,verb,compute,2,59,AWL,,
computational,计算,academic,8,verb,compute,2,58,AWL,,
computations,计算,academic,8,verb,compute,2,57,AWL,,
computed,计算,academic,8,verb,compute,2,56,AWL,,
computer,计算,academic,8,verb,compute,2,60,AWL,,
computerized,计算,academic,8,verb,compute,2,59,AWL,,
computers,计算,academic,8,verb,compute,2,58,AWL,,
computes,计算,academic,8,verb,compute,2,57,AWL,,
computing,计算,academic,8,verb,compute,2,56,AWL,,
concluded,结论,academic,8,verb,conclude,2,60,AWL,,
concludes,结论,academic,8,verb,conclude,2,59,AWL,,
concluding,结论,academic,8,verb,conclude,2,58,AWL,,
conclusion,结论,academic,8,verb,conclude,2,57,AWL,,
conclusions,结论,academic,8,verb,conclude,2,56,AWL,,
conclusive,结论,academic,8,verb,conclude,2,60,AWL,,
conducted,进行,academic,8,verb/noun,conduct,2,60,AWL,,
conducting,进行,academic,8,verb/noun,conduct,2,59,AWL,,
conducts,进行,academic,8,verb/noun,conduct,2,58,AWL,,
consequences,后果,academic,8,noun,consequence,2,60,AWL,,
consequent,后果,academic,8,noun,consequence,2,59,AWL,,
consequently,后果,academic,8,noun,consequence,2,58,AWL,,
constructed,构建,academic,8,verb,construct,2,60,AWL,,
constructing,构建,academic,8,verb,construct,2,59,AWL,,
construction,构建,academic,8,verb,construct,2,58,AWL,,
constructions,构建,academic,8,verb,construct,2,57,AWL,,
constructive,构建,academic,8,verb,construct,2,56,AWL,,
constructs,构建,academic,8,verb,construct,2,60,AWL,,
reconstruct,构建,academic,8,verb,construct,2,59,AWL,,
reconstructed,构建,academic,8,verb,construct,2,58,AWL,,
reconstruction,构建,academic,8,verb,construct,2,57,AWL,,
consumed,消费,academic,8,verb,consume,2,60,AWL,,
consumer,消费,academic,8,verb,consume,2,59,AWL,,
consumers,消费,academic,8,verb,consume,2,58,AWL,,
consumes,消费,academic,8,verb,consume,2,57,AWL,,
consuming,消费,academic,8,verb,consume,2,56,AWL,,
consumption,消费,academic,8,verb,consume,2,60,AWL,,
credited,信用,academic,8,noun/verb,credit,2,60,AWL,,
crediting,信用,academic,8,noun/verb,credit,2,59,AWL,,
creditor,信用,academic,8,noun/verb,credit,2,58,AWL,,
creditors,信用,academic,8,noun/verb,credit,2,57,AWL,,
credits,信用,academic,8,noun/verb,credit,2,56,AWL,,
cultural,文化,academic,8,noun,culture,2,60,AWL,,
culturally,文化,academic,8,noun,culture,2,59,AWL,,
cultured,文化,academic,8,noun,culture,2,58,AWL,,
cultures,文化,academic,8,noun,culture,2,57,AWL,,
designed,设计,academic,8,verb/noun,design,2,60,AWL,,
designer,设计,academic,8,verb/noun,design,2,59,AWL,,
designers,设计,academic,8,verb/noun,design,2,58,AWL,,
designing,设计,academic,8,verb/noun,design,2,57,AWL,,
designs,设计,academic,8,verb/noun,design,2,56,AWL,,
distinction,明显的,academic,8,adjective,distinct,2,60,AWL,,
distinctive,明显的,academic,8,adjective,distinct,2,59,AWL,,
distinctly,明显的,academic,8,adjective,distinct,2,58,AWL,,
elements,元素,academic,8,noun,element,2,60,AWL,,
equated,等同,academic,8,verb,equate,2,60,AWL,,
equates,等同,academic,8,verb,equate,2,59,AWL,,
equating,等同,academic,8,verb,equate,2,58,AWL,,
equation,等同,academic,8,verb,equate,2,57,AWL,,
equations,等同,academic,8,verb,equate,2,56,AWL,,
evaluative,评估,academic,8,verb,evaluate,2,60,AWL,,
evaluated,评估,academic,8,verb,evaluate,2,59,AWL,,
evaluates,评估,academic,8,verb,evaluate,2,58,AWL,,
evaluating,评估,academic,8,verb,evaluate,2,57,AWL,,
evaluation,评估,academic,8,verb,evaluate,2,56,AWL,,
evaluations,评估,academic,8,verb,evaluate,2,60,AWL,,
featured,特征,academic,8,noun,feature,2,60,AWL,,
features,特征,academic,8,noun,feature,2,59,AWL,,
featuring,特征,academic,8,noun,feature,2,58,AWL,,
finalise,最终的,academic,8,adjective,final,2,60,AWL,,
finalised,最终的,academic,8,adjective,final,2,59,AWL,,
finalising,最终的,academic,8,adjective,final,2,58,AWL,,
finalist,最终的,academic,8,adjective,final,2,57,AWL,,
finalists,最终的,academic,8,adjective,final,2,56,AWL,,
finality,最终的,academic,8,adjective,final,2,60,AWL,,
finalize,最终的,academic,8,adjective,final,2,59,AWL,,
finalized,最终的,academic,8,adjective,final,2,58,AWL,,
finalizing,最终的,academic,8,adjective,final,2,57,AWL,,
finally,最终的,academic,8,adjective,final,2,56,AWL,,
finals,最终的,academic,8,adjective,final,2,60,AWL,,
focused,焦点,academic,8,noun/verb,focus,2,60,AWL,,
focuses,焦点,academic,8,noun/verb,focus,2,59,AWL,,
focusing,焦点,academic,8,noun/verb,focus,2,58,AWL,,
focussed,焦点,academic,8,noun/verb,focus,2,57,AWL,,
focussing,焦点,academic,8,noun/verb,focus,2,56,AWL,,
impacted,影响,academic,8,noun/verb,impact,2,60,AWL,,
impacting,影响,academic,8,noun/verb,impact,2,59,AWL,,
impacts,影响,academic,8,noun/verb,impact,2,58,AWL,,
injured,伤害,academic,8,verb,injure,2,60,AWL,,
injures,伤害,academic,8,verb,injure,2,59,AWL,,
injuries,伤害,academic,8,verb,injure,2,58,AWL,,
injuring,伤害,academic,8,verb,injure,2,57,AWL,,
injury,伤害,academic,8,verb,injure,2,56,AWL,,
instituted,机构,academic,8,noun,institute,2,60,AWL,,
institutes,机构,academic,8,noun,institute,2,59,AWL,,
instituting,机构,academic,8,noun,institute,2,58,AWL,,
institution,机构,academic,8,noun,institute,2,57,AWL,,
institutional,机构,academic,8,noun,institute,2,56,AWL,,
institutionalized,机构,academic,8,noun,institute,2,60,AWL,,
institutions,机构,academic,8,noun,institute,2,59,AWL,,
invested,投资,academic,8,verb,invest,2,60,AWL,,
investing,投资,academic,8,verb,invest,2,59,AWL,,
investment,投资,academic,8,verb,invest,2,58,AWL,,
investments,投资,academic,8,verb,invest,2,57,AWL,,
investor,投资,academic,8,verb,invest,2,56,AWL,,
investors,投资,academic,8,verb,invest,2,60,AWL,,
invests,投资,academic,8,verb,invest,2,59,AWL,,
items,项目,academic,8,noun,item,2,60,AWL,,
journals,期刊,academic,8,noun,journal,2,60,AWL,,
maintained,维持,academic,8,verb,maintain,2,60,AWL,,
maintaining,维持,academic,8,verb,maintain,2,59,AWL,,
maintains,维持,academic,8,verb,maintain,2,58,AWL,,
maintenance,维持,academic,8,verb,maintain,2,57,AWL,,
measured,测量,academic,8,verb/noun,measure,2,60,AWL,,
measurement,测量,academic,8,verb/noun,measure,2,59,AWL,,
measurements,测量,academic,8,verb/noun,measure,2,58,AWL,,
measures,测量,academic,8,verb/noun,measure,2,57,AWL,,
measuring,测量,academic,8,verb/noun,measure,2,56,AWL,,
obtainable,获得,academic,8,verb,obtain,2,60,AWL,,
obtained,获得,academic,8,verb,obtain,2,59,AWL,,
obtaining,获得,academic,8,verb,obtain,2,58,AWL,,
obtains,获得,academic,8,verb,obtain,2,57,AWL,,
participant,参与,academic,8,verb,participate,2,60,AWL,,
participants,参与,academic,8,verb,participate,2,59,AWL,,
participated,参与,academic,8,verb,participate,2,58,AWL,,
participates,参与,academic,8,verb,participate,2,57,AWL,,
participating,参与,academic,8,verb,participate,2,56,AWL,,
participation,参与,academic,8,verb,participate,2,60,AWL,,
perceived,感知,academic,8,verb,perceive,2,60,AWL,,
perceives,感知,academic,8,verb,perceive,2,59,AWL,,
perceiving,感知,academic,8,verb,perceive,2,58,AWL,,
perception,感知,academic,8,verb,perceive,2,57,AWL,,
positively,积极的,academic,8,adjective,positive,2,60,AWL,,
potentially,潜在的,academic,8,adjective/noun,potential,2,60,AWL,,
previously,以前的,academic,8,adjective,previous,2,60,AWL,,
primarily,主要的,academic,8,adjective,primary,2,60,AWL,,
purchased,购买,academic,8,verb/noun,purchase,2,60,AWL,,
purchaser,购买,academic,8,verb/noun,purchase,2,59,AWL,,
purchasers,购买,academic,8,verb/noun,purchase,2,58,AWL,,
purchases,购买,academic,8,verb/noun,purchase,2,57,AWL,,
purchasing,购买,academic,8,verb/noun,purchase,2,56,AWL,,
ranged,范围,academic,8,noun/verb,range,2,60,AWL,,
ranges,范围,academic,8,noun/verb,range,2,59,AWL,,
ranging,范围,academic,8,noun/verb,range,2,58,AWL,,
regional,地区,academic,8,noun,region,2,60,AWL,,
regionally,地区,academic,8,noun,region,2,59,AWL,,
regions,地区,academic,8,noun,region,2,58,AWL,,
